FieldID,Percent_Slope
WC1,4.035044546491751
WC2,4.1025490843400165
WC3,3.530411365315655
WC6,4.367708168493082
WC4,3.860277125108444
WC5,3.549605258053299
WC26,2.7790881023276968
SW4,2.8773215770165477
NW6,2.4160356844956863
NW7,2.830716265574284
NB1,5.471653424188821
WC20,2.651644343115872
WC19,2.7346841940297986
SW3,3.984794488170164
WC18,3.588638683043561
WC17,3.263563717684537
SW5,2.684538989580201
SW6,4.1568205693841715
WC12,3.5410225440619505
WC8,2.7910765076250215
WC11,3.166491598288626
WC25,3.446525230993483
WC16,4.172422184252948
WC15,3.7664985514253138
NW1,4.8656602317132895
NW2,4.101547455553166
NW3,3.7959434320950916
NW4,3.940513750101331
NW5,4.025166210631173
WC23,3.148098154936153
WC22,3.6351232397309015
WC24,3.6147457714165747
NC2,2.6064063020611488
NC1,2.899022362378087
WC21,2.993211537622859
WC13,3.9556102318205535
WC9,3.4596482624650258
SW1,2.9116710398978194
SW2,2.763196377091182
WC10,4.7098748864454825
WC14,3.4178401092115043
WC7,3.8940154816355674
WC27,3.1812745335038133
